Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
12-308,"Milk, skimmed, pasteurised, summer","Average of glass bottles, plastic containers and cartons",BAE,"Reviewed 2013. ADAS Laboratory Services, Nutrient analysis of pasteurised liquid milk, 1996",90.8,3.5,0.2,4.4,32,137,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,NULL,0.10,0.06,0.01,NULL,2.6,49,171,133,12,98,0.06,0.01,0.5,86,0.01,1,21,1,0.01,0.01,0.01,NULL,0.03,0.21,0.1,0.6,0.06,0.8,3,0.55,2.1,1
12-309,"Milk, skimmed, pasteurised, winter","Average of glass bottles, plastic containers and cartons",BAE,"Reviewed 2013. ADAS Laboratory Services, Nutrient analysis of pasteurised liquid milk, 1996",90.7,3.5,0.2,4.2,32,134,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.10,0.06,0.01,NULL,4.1,42,163,124,11,99,0.01,0.01,0.5,84,0.01,1,31,1,0.01,0.01,0.01,NULL,0.03,0.22,0.1,0.8,0.06,0.7,14,0.33,3.5,1
12-554,"Milk, skimmed, UHT","22 samples, summer (June/Sep) and winter (Jan/Mar), unfortified and manufacturers' data",BAE,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and Milk Products and Eggs Supplement, 1989",91.3,3.4,0.1,4.9,33,140,0.0,4.9,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,NULL,NULL,0.01,0.01,2.0,40,148,102,10,92,0.01,0.01,0.3,102,0.01,2,25,0.01,0.01,0.01,0.02,NULL,0.04,0.17,0.1,0.8,0.02,0.6,1,0.41,1.8,0.01
12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified","10 samples, 9 brands",BC,"LGC, Nutrient analysis of 'other' milk and cream, 1998; and industry data, 2013. Fats calculated from 12-043 proportions and vitamins quoted as unsweetened soya milk. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",90.1,3.1,2.4,2.5,43,182,0.0,2.2,0.3,0.0,1.2,0.7,0.0,0.0,0.0,0.2,0.5,0.38,0.51,1.39,0.01,0.0,56,119,130,18,89,0.31,0.09,0.3,3,0.22,4,1,0,0.01,0.8,0.32,0.69,0.06,0.20,0.1,0.7,0.03,0.4,9,0.01,1.0,1
12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified","10 samples, 8 brands",BC,"LGC 'Nutrient analysis of other milk and cream' 1998; Fats as Fatty Acids Supplement 12-841. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",93.0,2.4,1.6,0.5,26,108,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.5,0.24,0.33,1.10,0.01,0.0,0.01,74,120,15,48,0.43,0.09,0.3,3,0.25,4,1,0.01,0.01,0.8,0.32,1.71,0.06,0.20,0.1,0.7,0.03,0.4,14,0.01,1.0,0
12-596,"Milk, whole, pasteurised, average","Average of summer/autumn and winter/spring standardised milk. Analytical data, 1995-1996; and industry data",BAK,"ADAS, Nutrient analysis of pasteurised liquid milk, 1995-1996; fatty acids as 12-833 and industry data 2014",87.6,3.4,3.6,4.6,63,265,0.0,4.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,2.29,0.96,0.09,0.13,12.0,42,157,120,11,96,0.02,0.01,0.5,89,0.01,1,31,36,14,0.01,0.06,0.60,0.03,0.23,0.2,0.6,0.06,0.9,8,0.58,2.5,2
12-598,"Milk, whole, pasteurised, summer and autumn",Standardised milk. Samples taken in June and September,BAK,"ADAS Laboratory Services, Nutrient analysis of pasteurised liquid milk, 1995-1996; and industry data, 2014",87.7,3.4,3.6,4.1,61,257,0.0,4.1,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,2.29,0.96,0.09,0.13,12.0,45,160,123,12,95,0.02,0.01,0.5,90,0.01,1,20,46,22,0.01,0.08,NULL,0.03,0.24,0.2,0.5,0.06,0.9,6,0.57,2.3,2
12-597,"Milk, whole, pasteurised, winter and spring",Standardised milk. Samples taken in January and March,BAK,"ADAS Laboratory Services, Nutrient analysis of pasteurised liquid milk, 1995-1996; and industry data, 2014",87.5,3.3,3.6,5.0,64,270,0.0,5.0,0.0,NULL,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.29,0.96,0.09,0.13,12.0,40,154,116,11,98,0.02,0.01,0.5,88,0.01,1,41,27,6,0.01,0.05,NULL,0.03,0.22,0.2,0.7,0.07,0.8,9,0.60,2.8,2
12-320,"Milk, whole, UHT","22 samples, summer (Jun/Sep) and winter (Jan/Mar)",BAK,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Inorganics and water soluble vitamins from Milk Products and Eggs Supplement (1989) 12-016. Fatty acids as 12-835",90.2,3.2,3.9,4.8,66,276,0.0,4.8,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,2.36,1.05,0.10,0.15,14.0,55,140,110,11,87,0.23,0.01,0.4,93,0.01,1,31,54,31,0.0,0.08,NULL,0.04,0.18,0.1,0.8,0.04,0.2,1,0.32,1.8,0.01
12-327,"Milkshake, thick, takeaway","10 samples, 3 brands including chocolate, vanilla, and banana",BAR,"Reviewed 2013. LGC, Nutrient analysis of 'other' milk and cream, 1998. Fatty acids as Fatty Acids Supplement (1998) 12-893",73.2,3.7,1.8,15.3,88,374,0.3,11.1,0.3,0.0,4.2,1.4,0.7,4.5,0.0,0.01,0.01,1.21,0.41,0.06,0.06,10.9,57,171,129,13,120,0.01,0.01,0.1,111,0.01,2,37,35,11,0.01,0.10,NULL,0.03,0.23,0.1,0.7,0.03,0.5,4,0.31,2.0,1
17-669,Milky Way and own brand equivalents,"16 samples, 3 brands, including standard and fun size",SEA,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",5.8,3.8,15.7,76.6,444,1872,6.9,69.7,6.5,0.0,0.3,47.1,7.5,8.3,0.0,0.6,1.0,7.73,6.43,0.74,0.06,9.4,220,240,117,25,114,1.98,0.13,0.5,354,0.13,1,NULL,24,0.01,0.2,1.96,NULL,0.18,0.21,0.4,1.0,0.03,0.01,5,0.56,1.7,0
11-1092,"Mince pies, homemade, individual",Recipe,AP,Recalculated in 2014,13.1,4.2,23.5,55.5,436,1829,26.4,29.0,14.3,NULL,14.1,0.3,0.3,0.01,NULL,1.8,NULL,NULL,NULL,NULL,NULL,1.4,162,87,71,9,41,0.95,0.05,0.3,230,NULL,3,3,0,4,0.01,NULL,NULL,0.06,0.01,0.7,0.8,0.07,0.01,6,0.21,1.3,1
11-848,"Mince pies, retail","10 samples, 8 products",AS,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",18.5,3.8,14.9,60.7,377,1588,25.2,35.5,16.6,0.5,11.9,3.4,2.7,0.4,0.0,1.7,2.6,5.97,5.78,2.23,0.08,11.9,101,211,66,16,65,1.20,0.01,0.3,140,0.36,2,NULL,25,16,0.01,2.06,NULL,0.11,0.01,1.0,0.7,0.04,0.01,14,0.20,2.4,0.01
17-765,Mincemeat,10 samples of the same brand,SC,"Reviewed 2013. LGC, Nutritional composition of fruit products, 1985-1986",27.5,0.6,4.3,62.1,274,1163,0.01,62.1,30.7,0.0,30.8,0.6,0.01,0.0,0.0,1.3,NULL,NULL,NULL,NULL,NULL,0.01,18,44,35,4,13,0.60,0.12,0.2,7,NULL,1,7,0,9,0.01,NULL,NULL,0.04,0.02,0.4,0.1,0.10,0.01,8,0.03,0.01,0.01
17-852,"Mincemeat, vegetarian, homemade",Recipe,S,Updated 2014,29.8,1.7,9.5,43.8,306,1285,1.4,42.5,12.5,NULL,10.8,15.8,3.0,0.0,4.2,1.4,NULL,4.40,3.05,0.99,0.01,0.0,60,336,62,21,37,1.90,0.24,0.2,NULL,0.14,NULL,NULL,0,487,0.0,NULL,NULL,NULL,NULL,NULL,0.1,NULL,0.01,NULL,NULL,NULL,4
11-825,"Minibreads, toasted, retail","10 samples, 6 products, including bruschettinne and crostini",AM,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",3.0,10.5,13.6,68.9,423,1784,65.6,3.3,0.01,0.01,0.01,0.01,3.3,0.01,0.0,2.9,4.2,3.22,7.81,1.86,0.02,0.0,865,221,39,26,114,1.40,0.18,0.7,1210,0.59,6,0.01,0,0.01,0.0,2.93,NULL,0.09,0.02,1.5,2.1,0.10,0.01,21,0.60,2.0,0
17-707,Mint sauce,"8 samples, 4 brands",WCN,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",68.7,1.6,0.01,21.5,101,432,0.0,21.5,4.9,0.0,4.8,11.8,0.0,0.0,0.0,NULL,NULL,0.01,0.01,0.01,0.01,0.0,480,210,120,46,27,7.40,0.30,0.2,780,0.86,0.01,0.01,0,0.01,0.0,0.01,NULL,0.01,0.01,0.01,0.3,0.01,0.0,0.01,0.01,0.01,0.01
17-811,"Mint sauce, homemade",Recipe,WC,Updated 2014,76.9,0.8,0.1,19.4,85,358,0.0,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.01,0.00,0.0,5,59,39,0,17,1.73,NULL,NULL,24,0.25,NULL,NULL,0,129,0.0,0.87,NULL,0.02,0.06,0.2,NULL,NULL,0.0,19,NULL,NULL,5
13-837,"Mint, dried",10 samples and calculation from fresh,H,"LGC, Fruit and vegetables, 1989-1990",11.3,24.8,4.6,34.6,279,1180,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,98,1700,1370,NULL,490,NULL,NULL,NULL,220,9.20,NULL,NULL,0,4830,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,0.01
13-836,"Mint, fresh",Literature sources,H,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991",86.4,3.8,0.7,5.3,43,181,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,0.00,0.0,15,260,210,NULL,75,9.50,NULL,NULL,34,1.40,NULL,NULL,0,740,0.0,5.00,NULL,0.12,0.33,1.1,NULL,NULL,0.0,110,NULL,NULL,31
13-886,Mixed curry spices,"Recipe, equal quantities of curry powder, garam masala, paprika and chilli powder",H,Produced for use in VD recipe calculations,10.1,13.2,13.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.0,1154,1878,490,234,319,32.33,1.09,4.1,NULL,3.50,NULL,NULL,0,11946,0.0,NULL,NULL,0.30,0.69,6.9,NULL,NULL,0.0,33,NULL,NULL,1
13-884,"Mixed herbs, dried","Recipe; Equal quantities of Marjoram, Parsley, Sage and Thyme",H,"Recipe using values from Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No.8-2",8.1,12.1,8.5,36.3,261,1092,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,0.00,0.0,81,1873,1653,280,235,68.97,0.73,4.6,NULL,9.84,NULL,NULL,0,8100,0.0,NULL,NULL,NULL,0.34,5.0,NULL,NULL,NULL,NULL,NULL,NULL,43
17-059,Molasses,Literature sources,SC,"Ref. Cutrufelli and Pehrsson, 1991",25.9,0.0,0.1,68.8,266,1115,0.0,59.4,11.5,0.0,12.9,35.1,0.01,0.0,0.0,0.01,NULL,0.01,0.01,0.01,NULL,0.0,37,1460,210,240,31,4.70,0.49,0.3,NULL,1.53,0.01,0.01,0,0,0.0,0.41,NULL,0.04,0.01,0.9,0.0,0.67,0.0,0,0.80,0.01,0
16-093,"Monkfish, flesh only, grilled","Calculated from raw, pieces from tail end",JA,"Fish and Fish Products Supplement, 1993",75.8,22.7,0.6,0.0,96,407,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.10,0.10,0.20,NULL,20.0,26,430,12,30,480,0.50,0.01,0.7,540,0.03,NULL,NULL,0.01,0.01,0.01,NULL,NULL,0.04,0.08,NULL,4.3,NULL,NULL,NULL,NULL,NULL,0.01
16-094,"Monkfish, flesh only, grilled, weighed with bones",Calculated from grilled 16-093,JA,"Fish and Fish Products Supplement, 1993",58.4,17.5,0.4,0.0,74,314,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.10,0.10,0.10,NULL,16.0,20,330,9,23,370,0.40,0.01,0.5,410,0.02,NULL,NULL,0.01,0.01,0.01,NULL,NULL,0.03,0.06,NULL,3.3,NULL,NULL,NULL,NULL,NULL,0.01
16-092,"Monkfish, flesh only, raw",Literature sources,JA,"Fish and Fish Products Supplement, 1993",83.3,15.7,0.4,0.0,66,282,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.10,0.10,0.10,NULL,14.0,18,300,8,21,330,0.30,0.01,0.5,370,0.02,NULL,NULL,0.01,0.01,0.01,NULL,NULL,0.03,0.06,NULL,2.9,NULL,NULL,NULL,NULL,NULL,0.01
11-912,"Mooli paratha, homemade","5 samples, radish filled flatbread",AF,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",46.7,5.9,2.3,33.8,171,727,32.0,1.8,0.9,0.0,0.5,0.3,0.1,0.0,0.0,2.0,4.8,0.41,0.79,0.98,0.01,3.0,395,235,61,41,114,1.86,0.15,0.9,NULL,NULL,8,NULL,NULL,58,NULL,2.87,NULL,0.14,0.09,2.2,NULL,NULL,0.0,12,0.49,4.0,0.01
19-609,"Moussaka, homemade",Recipe,MR,Updated 2014,76.5,8.5,8.0,4.5,128,518,1.5,2.7,0.9,NULL,0.7,0.2,0.0,0.9,NULL,1.0,NULL,3.39,3.13,0.76,0.40,38.8,72,266,64,17,111,0.90,0.05,1.4,125,0.09,2,12,NULL,126,NULL,NULL,NULL,0.07,0.12,1.5,1.7,0.12,0.8,9,0.43,NULL,3
19-507,"Moussaka, retail, reheated","8 samples, 4 brands of beef and lamb. 20-23% meat, chilled/frozen/longlife",MR,"LGC, Nutritional analysis of meat and poultry products, 1994-1995; and industry data, 2013",70.6,8.3,8.3,8.6,140,586,6.5,2.0,0.4,0.0,0.6,0.0,0.0,1.0,0.0,0.8,1.9,2.90,3.60,1.10,0.40,26.0,280,250,75,77,110,0.60,0.12,0.1,430,0.13,NULL,NULL,40,235,0.3,NULL,NULL,0.05,0.19,1.5,1.5,0.15,1.0,8,0.48,2.0,NULL
15-734,"Moussaka, vegetable, homemade",Recipe,DR,Updated 2014,75.5,4.4,8.6,8.7,133,552,6.0,2.4,0.7,NULL,0.6,0.4,0.0,0.8,NULL,1.2,NULL,2.40,3.44,1.44,0.13,23.1,68,260,78,16,89,0.62,0.08,0.6,134,0.08,3,12,41,89,0.2,NULL,NULL,0.09,0.11,0.5,0.5,0.16,0.4,17,0.47,NULL,3
15-652,"Moussaka, vegetable, retail","7 samples, 3 brands; cooked in conventional and microwave ovens according to packet directions",DR,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",75.4,5.9,4.9,8.0,98,410,3.5,4.5,1.0,0.0,1.0,0.5,0.9,1.1,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210,330,76,25,100,1.00,0.06,0.5,320,0.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.07,0.7,1.3,0.18,0.01,12,NULL,NULL,NULL
12-401,"Mousse, chocolate, low fat","7 samples, 4 brands",BR,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998",69.0,5.5,3.7,18.0,123,518,2.2,15.8,0.01,0.01,6.3,3.8,0.01,5.7,0.0,NULL,NULL,2.54,0.87,0.09,0.00,0.7,69,301,126,33,133,1.21,0.12,0.8,191,0.05,2,66,NULL,0.01,0.01,0.79,NULL,0.12,0.26,0.2,0.8,0.01,0.0,0,0.74,2.1,0
12-402,"Mousse, fruit","8 samples, assorted flavours, fresh",BR,"Reviewed 2013. Milk Products and Eggs Supplement, 1989; fats and vitamin E from Milk Marketing Board, 1992 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'.",71.7,4.5,6.4,18.0,143,601,0.01,18.0,3.1,0.4,2.9,7.6,0.3,3.7,0.0,NULL,NULL,4.11,1.83,0.10,0.71,NULL,62,150,120,12,96,0.01,0.01,0.4,110,0.01,NULL,NULL,36,16,0.1,0.39,NULL,0.04,0.23,0.2,1.1,0.05,0.2,6,NULL,NULL,0.01
11-781,"Muesli, Swiss style, no added sugar or salt, unfortified","6 samples, 5 products, including Jordans Natural Muesli and own brands",AI,"LGC, Nutrient survey of breakfast cereals, 2004",9.2,9.8,5.9,70.7,357,1516,57.7,13.0,4.6,NULL,5.2,0.01,0.01,3.2,0.0,8.4,8.5,1.19,2.76,1.57,0.03,1.6,66,539,78,87,303,2.67,0.41,1.5,188,1.99,5,19,0.01,0.01,0.0,0.52,NULL,0.17,0.37,6.9,2.3,0.53,0.0,45,0.60,6.0,0.01
11-780,"Muesli, Swiss style, unfortified","11 samples, 9 products, including Alpen and own brand",AI,"LGC, Nutrient survey of breakfast cereals, 2004",7.5,9.2,6.3,72.6,366,1551,51.3,21.3,4.9,NULL,5.0,7.4,0.01,4.0,NULL,6.7,8.8,1.27,2.97,1.68,0.03,1.7,138,531,93,92,318,2.67,0.39,1.7,277,2.31,5,19,0.01,0.01,0.0,0.52,NULL,0.17,0.37,6.9,2.3,0.53,0.0,45,0.60,6.0,0.01
11-1094,"Muffins, American style, chocolate chip, homemade",Recipe,AN,Based on generic recpe'.  Updated 2014,22.1,6.3,17.5,53.6,384,1613,25.3,28.2,0.01,NULL,0.01,27.0,0.0,1.2,NULL,1.6,1.3,10.37,5.00,0.84,0.33,62.2,263,192,138,35,261,1.34,0.24,0.8,194,0.43,5,17,122,70,0.4,0.90,NULL,0.09,0.13,0.6,1.3,0.07,0.5,9,0.41,4.1,1
11-737,"Muffins, American, chocolate, retail","10 samples, 9 products",AN,"Direct Laboratories, Nutrient analysis catch up project, 2003",18.6,5.5,25.4,49.5,436,1825,18.4,30.9,0.6,0.01,0.1,28.3,0.4,1.5,0.0,0.8,1.0,4.83,12.95,6.48,0.17,44.8,396,248,70,34,198,3.02,0.31,1.3,317,0.33,5,15,24,NULL,0.01,3.34,NULL,0.03,0.11,0.7,0.8,0.01,0.4,9,0.48,2.2,0
11-738,"Muffins, American, not chocolate, retail","10 samples, 10 products, including blueberry, cherry, toffee",AN,"Direct Laboratories, Nutrient analysis catch up project, 2003",24.6,5.0,19.5,47.8,375,1571,19.8,27.7,1.0,0.01,0.7,24.3,0.9,0.9,0.0,1.0,1.8,2.40,10.30,5.71,0.24,46.4,250,114,64,10,190,1.09,0.12,0.6,200,0.40,5,NULL,25,7,0.01,2.40,NULL,0.03,0.10,0.7,0.8,0.01,0.2,9,0.48,2.2,0.01
11-1095,"Muffins, bran, homemade",Recipe,AP,Updated 2014,30.6,8.2,7.0,44.5,263,1111,27.2,17.3,1.3,NULL,1.3,12.7,0.0,1.8,NULL,7.4,9.2,3.50,1.72,0.90,0.17,46.7,351,378,102,88,356,2.46,0.27,1.6,169,1.35,6,19,66,33,0.4,0.60,2.60,0.21,0.19,5.3,2.3,0.23,0.6,14,0.76,9.9,1
11-541,"Muffins, English style, white",10 samples,AP,"LGC, Nutrient analysis of bread and morning goods, 1999",40.5,10.0,1.9,44.2,223,948,40.8,3.4,0.5,NULL,0.8,0.01,2.1,0.01,0.0,1.9,2.6,0.38,0.46,0.62,0.02,0.0,431,124,123,20,89,1.30,0.11,0.8,665,0.44,6,NULL,65,0.01,0.01,0.09,NULL,0.24,0.16,2.0,2.1,0.12,0.01,41,0.50,7.0,0.01
11-542,"Muffins, English style, white, toasted",Calculated using a weight loss of 12.6%,AP,"LGC, Nutrient analysis of bread and morning goods, 1999",31.9,11.3,2.7,51.0,261,1108,47.3,3.8,0.5,NULL,0.8,0.01,2.4,0.01,0.0,2.2,3.0,0.43,0.53,0.71,0.02,0.0,493,142,141,23,102,1.49,0.13,0.9,760,0.50,7,NULL,74,0.01,0.01,0.10,NULL,0.27,0.18,2.3,2.4,0.14,0.01,47,0.57,8.0,0.01
14-168,"Mulberries, whole fruit, raw",Whole fruit,FA,"MW4, 1978. Values revised for Fruit and Nuts Supplement, 1992",85.0,1.3,0.01,8.1,36,152,0.0,8.1,3.8,NULL,4.3,0.01,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,2,260,36,15,48,1.60,0.06,0.2,4,0.90,0.01,NULL,0,14,0.0,NULL,NULL,0.03,0.05,0.7,0.2,0.06,0.0,33,0.24,1.9,19
14-169,"Mulberries, whole fruit, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",FA,"Fruit and Nuts Supplement, 1992",78.9,1.0,0.01,16.2,65,276,0.0,16.2,3.5,NULL,3.9,8.9,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.01,NULL,0.0,1,200,28,11,37,1.30,0.05,0.2,3,0.70,0.01,NULL,0,10,0.0,NULL,NULL,0.02,0.03,0.4,0.2,0.04,0.0,5,0.14,1.1,11
14-170,"Mulberries, whole fruit, stewed without sugar","Calculated from 700g fruit, 210g water",FA,"Fruit and Nuts Supplement, 1992",87.2,1.1,0.01,6.9,30,129,0.0,6.9,3.3,NULL,3.7,0.01,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.01,NULL,0.0,1,220,30,12,41,1.40,0.05,0.2,3,0.80,0.01,NULL,0,11,0.0,NULL,NULL,0.02,0.03,0.5,0.2,0.04,0.0,5,0.15,1.2,12
16-096,"Mullet, Grey, flesh only, grilled","Calculated from raw, whole fish with guts removed",JA,"Fish and Fish Products Supplement, 1993",67.8,25.7,5.2,0.0,150,629,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,1.40,1.20,0.70,NULL,44.0,84,460,35,38,330,1.30,0.09,0.5,170,0.01,66,250,61,0.01,NULL,NULL,NULL,0.07,0.18,4.4,4.8,NULL,NULL,NULL,NULL,NULL,0.01
16-095,"Mullet, Grey, flesh only, raw",Literature sources,JA,"Fish and Fish Products Supplement, 1993",75.2,19.8,4.0,0.0,115,485,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,1.10,0.90,0.50,NULL,34.0,65,350,27,29,260,1.00,0.07,0.4,130,0.01,51,190,47,0.01,NULL,NULL,NULL,0.06,0.15,3.8,3.7,NULL,NULL,NULL,NULL,NULL,0.01
16-097,"Mullet, Grey, grilled, weighed with bones and skin",Calculated from grilled 16-096,JA,"Fish and Fish Products Supplement, 1993",37.3,14.1,2.9,0.0,82,346,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.80,0.60,0.40,NULL,24.0,46,250,19,21,180,0.70,0.05,0.3,94,0.01,36,140,34,0.01,NULL,NULL,NULL,0.04,0.10,2.4,2.6,NULL,NULL,NULL,NULL,NULL,0.01
16-099,"Mullet, Red, flesh only, grilled","6 samples, grilled for 7 minutes, whole fish with guts removed",JA,"LGC, Analytical survey of fish and fish products, 1991-1992",73.9,20.4,4.4,0.0,121,510,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,110,400,77,35,260,0.40,0.05,0.4,160,0.01,54,13,0.01,0.01,0.9,0.59,NULL,0.07,0.10,4.2,3.8,0.41,2.0,10,0.49,3.0,0.01
16-100,"Mullet, Red, flesh only, grilled, weighed with bones and skin",Calculated from grilled 16 - 099,JA,"LGC, Analytical survey of fish and fish products, 1991-1992",34.7,9.6,2.1,0.0,57,240,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,50,190,36,16,120,0.20,0.02,0.2,74,0.01,25,6,0.01,0.01,0.4,0.28,NULL,0.03,0.05,2.0,1.8,0.19,1.0,5,0.23,1.0,0.01
16-098,"Mullet, Red, flesh only, raw","6 samples, purchased whole",JA,"LGC, Analytical survey of fish and fish products, 1991-1992",77.7,18.7,3.8,0.0,109,459,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,91,340,66,30,220,0.30,0.04,0.3,140,0.01,46,11,0.01,0.01,0.8,0.51,NULL,0.08,0.08,3.6,3.5,0.42,2.0,11,0.46,2.0,0.01
17-416,"Mushroom, dried",Calculated from raw mushroom,DI,"Miscellaneous Foods Supplement, 1994",10.5,21.8,6.0,4.8,159,669,1.2,3.6,1.2,0.0,1.2,1.2,0.0,0.0,0.0,13.3,NULL,1.20,0.01,3.60,NULL,0.0,60,3870,73,110,970,7.30,8.71,4.8,840,1.20,110,36,0,NULL,0.0,14.86,NULL,0.01,0.01,38.7,NULL,0.01,0.0,0.01,0.01,0.01,0.01
13-288,"Mushrooms, Chinese, dried, raw",Literature sources,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",12.8,10.0,1.8,59.9,284,1188,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,38,1480,76,14,290,11.70,1.79,0.3,NULL,0.10,13,18,0,0,0.0,NULL,NULL,0.37,1.32,11.3,1.6,0.53,0.0,30,2.10,NULL,0.01
13-289,"Mushrooms, Jew's ear, tender, dried, raw",Literature sources;,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",13.0,6.9,1.0,62.4,279,1167,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,63,860,210,NULL,220,56.10,NULL,NULL,NULL,NULL,NULL,NULL,0,20,0.0,NULL,NULL,0.16,0.48,4.1,1.1,NULL,0.0,NULL,NULL,NULL,0
13-290,"Mushrooms, Jew's ear, tender, dried, soaked, raw",Literature sources;,DG,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",92.0,0.7,0.7,5.7,29,121,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,1,60,23,NULL,5,5.10,NULL,NULL,NULL,NULL,NULL,NULL,0,10,0.0,NULL,NULL,0.01,0.07,0.1,0.1,NULL,0.0,NULL,NULL,NULL,0
